"Subject" "Activity" "aver"
22 "WALKING_UPSTAIRS" -0.288469620350947
23 "LAYING" -0.628071662024584
23 "SITTING" -0.633166760059347
23 "STANDING" -0.637089951807279
23 "WALKING" -0.286221439600191
23 "WALKING_DOWNSTAIRS" -0.200086157275329
23 "WALKING_UPSTAIRS" -0.376928658695888
24 "LAYING" -0.634209460575995
24 "SITTING" -0.646712140582489
24 "STANDING" -0.634295535850311
24 "WALKING" -0.422369521612476
24 "WALKING_DOWNSTAIRS" -0.360728926240694
24 "WALKING_UPSTAIRS" -0.438724299340379
25 "LAYING" -0.591397300596175
25 "SITTING" -0.645490874191086
25 "STANDING" -0.645401613742338
25 "WALKING" -0.462895537376991
25 "WALKING_DOWNSTAIRS" -0.425483550102427
25 "WALKING_UPSTAIRS" -0.486148867940957
26 "LAYING" -0.640634993799025
26 "SITTING" -0.642974715095914
26 "STANDING" -0.644067592402012
26 "WALKING" -0.39205051997675
26 "WALKING_DOWNSTAIRS" -0.312437675338419
26 "WALKING_UPSTAIRS" -0.402499810096101
27 "LAYING" -0.645995363866633
27 "SITTING" -0.647407377504289
27 "STANDING" -0.644416479654838
27 "WALKING" -0.384053704618856
27 "WALKING_DOWNSTAIRS" -0.297376552396724
27 "WALKING_UPSTAIRS" -0.428716342780451
28 "LAYING" -0.640577470585374
28 "SITTING" -0.637430992602146
28 "STANDING" -0.628022468767385
28 "WALKING" -0.393268340084244
28 "WALKING_DOWNSTAIRS" -0.277367533721331
28 "WALKING_UPSTAIRS" -0.39645474997032
29 "LAYING" -0.646346489091612
29 "SITTING" -0.644212280407301
29 "STANDING" -0.650266021718613
29 "WALKING" -0.352699779076807
29 "WALKING_DOWNSTAIRS" -0.299960366919137
29 "WALKING_UPSTAIRS" -0.355522736715851
30 "LAYING" -0.642678748740563
30 "SITTING" -0.646198033293807
30 "STANDING" -0.630769150403759
30 "WALKING" -0.378934597716737
30 "WALKING_DOWNSTAIRS" -0.354716119237316
30 "WALKING_UPSTAIRS" -0.444303879849949
